,matchId,home,away,competition,home_goals,away_goals,date,stadium,home_lineup,away_lineup
0,http://www.espn.com/soccer/match?gameId=476296,Bahia,Atlético PR,Brasileirao 2017,"[['Tiago Pagnussat', 'Zé Rafael', 'Régis Salmazzo', 'Edigar Junio', 'Edson'], [""(33')"", ""(40')"", ""(42', 45'+2')"", ""(44')"", ""(72')""]]","[['Guilherme', 'Marcao'], [""(15')"", ""(38')""]]",2017-05-14T19:00Z,Arena Fonte Nova,"['Jean', 'Lucas Fonseca', 'Tiago Pagnussat', 'Matheus Reis', 'Eduardo', 'Régis Salmazzo', ""(Diego Rosa 17')"", 'Edson', 'Juninho', 'Edigar Junio', ""(Maikon Leite 27')"", 'Agustín Allione', 'Zé Rafael', ""(Gustavo 21')"", 'Rafael', 'Anderson', 'Feijão', 'Matheus Sales', 'Eder', 'Juninho Capixaba', 'Matheus Peixoto']","['Wéverton', 'Cleberson', 'Marcao', 'Ivaldo', 'Bruno Mota', ""(Matheus Rossetto 20')"", 'Eduardo', 'Guilherme', 'Sidcley', 'Jonathan', ""(João Pedro 21')"", 'Douglas Coutinho', ""(Nikão 11')"", 'Eduardo', 'Grafite', 'Santos', 'Cascardo', 'Crysan', 'Luis Henrique', 'Nicolas', 'Yago', 'Warleson']"
1,http://www.espn.com/soccer/match?gameId=475933,Vasco da Gama,Ponte Preta,Brasileirao 2017,"[['Paulinho', 'Mateus Vital'], [""(28')"", ""(74')""]]","[['Lucca'], [""(89' PEN)""]]",2017-12-03T19:00Z,São Januario,"['Martín Silva', 'Anderson Martins', 'Paulão', 'Gilberto Junior', 'Madson', ""(Éder Luís 21')"", 'Nene', ""(Mateus Vital 17')"", 'Wellington', 'Evander Sno', ""(Jean 14')"", 'Andrés Ríos', 'Yago Pikachu', 'Paulinho', 'Rafael Marques', 'Wagner', 'Nazario Andrey', 'Guilherme Costa', 'Bruno Paulista', 'Gabriel Felix', 'Caio Monteiro', 'Alan Cardoso', 'Paulo Vitor']","['Aranha', 'Luan Peres', 'Marllon', 'Jeferson', 'Nino Paraíba', 'Léo Melo', ""(Felipe Saraiva 17')"", 'Wendel', ""(Naldo 16')"", 'Elton', 'Léo Gamalho', 'Danilo Carvalho', ""(Claudinho 18')"", 'Lucca', 'João Carlos', 'Yago', 'Jádson', 'Fernandinho', 'Savio Alves Marchiote']"
